unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1498831140,2017-06-30 13:59:00,BTC/USD,2517.68,2528.62,2511.37,2525.00,10.36493141,26171.45181025
1498827540,2017-06-30 12:59:00,BTC/USD,2518.00,2521.82,2514.71,2514.71,9.24508079,23248.697113420898
1498823940,2017-06-30 11:59:00,BTC/USD,2552.51,2552.51,2552.51,2552.51,0.10534963,268.9059840713
1498820340,2017-06-30 10:59:00,BTC/USD,2544.00,2544.00,2541.07,2544.00,7.68242351,19544.08540944
1498816740,2017-06-30 09:59:00,BTC/USD,2525.84,2526.84,2525.84,2526.84,0.14360230,362.860035732
1498813140,2017-06-30 08:59:00,BTC/USD,2521.49,2521.49,2519.78,2521.49,9.02208075,22749.0863903175
1498809540,2017-06-30 07:59:00,BTC/USD,2516.20,2516.20,2516.20,2516.20,0.01184729,29.810151098
1498805940,2017-06-30 06:59:00,BTC/USD,2523.74,2523.74,2523.74,2523.74,0.00000000,0.0
1498802340,2017-06-30 05:59:00,BTC/USD,2520.00,2520.00,2517.04,2520.00,0.52233444,1316.2827888
1498798740,2017-06-30 04:59:00,BTC/USD,2533.36,2533.36,2533.02,2533.02,0.46590353,1180.1429595606
1498795140,2017-06-30 03:59:00,BTC/USD,2524.00,2535.00,2523.38,2535.00,27.38580347,69423.01179645
1498791540,2017-06-30 02:59:00,BTC/USD,2531.06,2534.13,2527.62,2533.88,21.07200678,53393.936539706396
1498787940,2017-06-30 01:59:00,BTC/USD,2548.86,2550.21,2548.86,2548.99,1.68600000,4297.59714
1498784340,2017-06-30 00:59:00,BTC/USD,2553.22,2553.30,2552.25,2553.30,6.35910000,16236.69003
1498780740,2017-06-29 23:59:00,BTC/USD,2544.68,2544.68,2541.59,2541.59,0.10553314,268.2219732926
1498777140,2017-06-29 22:59:00,BTC/USD,2547.01,2547.01,2547.01,2547.01,2.00000000,5094.02
1498773540,2017-06-29 21:59:00,BTC/USD,2555.99,2562.55,2555.00,2555.00,13.21334161,33760.08781355
1498769940,2017-06-29 20:59:00,BTC/USD,2557.99,2560.01,2557.99,2559.98,8.02972714,20555.9408838572
1498766340,2017-06-29 19:59:00,BTC/USD,2574.00,2574.00,2573.99,2573.99,0.24700900,635.79869591
1498762740,2017-06-29 18:59:00,BTC/USD,2577.00,2577.00,2577.00,2577.00,4.27198059,11008.89398043
1498759140,2017-06-29 17:59:00,BTC/USD,2588.00,2591.98,2587.01,2587.54,13.80885527,35730.965365335804
1498755540,2017-06-29 16:59:00,BTC/USD,2572.52,2574.59,2572.52,2574.59,0.42650174,1098.0671147866
1498751940,2017-06-29 15:59:00,BTC/USD,2554.14,2554.14,2554.14,2554.14,0.01017008,25.975808131199997
1498748340,2017-06-29 14:59:00,BTC/USD,2557.97,2557.97,2554.14,2557.97,1.12741300,2883.8886316099997
1498744740,2017-06-29 13:59:00,BTC/USD,2543.40,2543.40,2538.03,2543.40,6.30497413,16036.071202242
1498741140,2017-06-29 12:59:00,BTC/USD,2517.45,2518.45,2517.45,2518.45,0.63181387,1591.1916409014998
1498737540,2017-06-29 11:59:00,BTC/USD,2542.25,2542.25,2542.25,2542.25,0.37600000,955.886
1498733940,2017-06-29 10:59:00,BTC/USD,2545.36,2549.85,2545.01,2549.85,2.19768857,5603.7762002145
1498730340,2017-06-29 09:59:00,BTC/USD,2562.83,2563.03,2561.41,2563.03,0.72733438,1864.1798359714
1498726740,2017-06-29 08:59:00,BTC/USD,2579.03,2583.75,2579.03,2583.75,5.02420000,12981.27675
1498723140,2017-06-29 07:59:00,BTC/USD,2566.00,2566.00,2560.10,2560.10,1.72016750,4403.80081675
1498719540,2017-06-29 06:59:00,BTC/USD,2567.65,2569.94,2567.63,2569.94,0.54900000,1410.8970600000002
1498715940,2017-06-29 05:59:00,BTC/USD,2551.23,2552.60,2550.00,2550.00,9.02304300,23008.75965
1498712340,2017-06-29 04:59:00,BTC/USD,2571.37,2571.37,2566.00,2566.00,0.07917000,203.15022000000002
1498708740,2017-06-29 03:59:00,BTC/USD,2567.98,2568.00,2567.98,2567.99,4.37456681,11233.8438224119
1498705140,2017-06-29 02:59:00,BTC/USD,2548.71,2553.32,2548.71,2553.32,0.07472600,190.79939032000001
1498701540,2017-06-29 01:59:00,BTC/USD,2561.77,2563.39,2555.68,2563.33,1.16706648,2991.5765201783997
1498697940,2017-06-29 00:59:00,BTC/USD,2552.80,2554.12,2552.80,2554.08,1.43284809,3659.6086497072
1498694340,2017-06-28 23:59:00,BTC/USD,2559.90,2559.90,2559.90,2559.90,0.00000000,0.0
1498690740,2017-06-28 22:59:00,BTC/USD,2555.72,2555.72,2551.51,2551.51,3.03150817,7734.923410836701
1498687140,2017-06-28 21:59:00,BTC/USD,2593.00,2593.00,2589.18,2593.00,12.71135800,32960.551294000004
1498683540,2017-06-28 20:59:00,BTC/USD,2582.35,2585.95,2579.93,2585.95,5.10352959,13197.472343260499
1498679940,2017-06-28 19:59:00,BTC/USD,2556.00,2559.33,2556.00,2559.33,34.76007073,88962.4918214109
1498676340,2017-06-28 18:59:00,BTC/USD,2545.00,2545.00,2542.39,2545.00,1.62116557,4125.86637565
1498672740,2017-06-28 17:59:00,BTC/USD,2549.91,2549.91,2549.91,2549.91,0.00000000,0.0
1498669140,2017-06-28 16:59:00,BTC/USD,2541.24,2541.90,2537.23,2541.90,21.04137208,53485.063690152
1498665540,2017-06-28 15:59:00,BTC/USD,2551.69,2551.69,2551.69,2551.69,0.15034500,383.63383305
1498661940,2017-06-28 14:59:00,BTC/USD,2547.99,2548.00,2547.99,2548.00,5.85154059,14909.72542332
1498658340,2017-06-28 13:59:00,BTC/USD,2561.73,2565.00,2561.73,2564.99,2.81466427,7219.5857059073
1498654740,2017-06-28 12:59:00,BTC/USD,2542.00,2542.00,2539.57,2539.57,1.26640786,3216.1314090202
1498651140,2017-06-28 11:59:00,BTC/USD,2536.39,2538.00,2531.27,2538.00,35.07131831,89011.00587078
1498647540,2017-06-28 10:59:00,BTC/USD,2525.11,2526.83,2524.01,2524.01,9.80285377,24742.500944017702
1498643940,2017-06-28 09:59:00,BTC/USD,2539.80,2539.99,2539.08,2539.98,4.62662197,11751.527271360601
1498640340,2017-06-28 08:59:00,BTC/USD,2505.00,2506.34,2502.28,2502.30,4.67968874,11709.985134102
1498636740,2017-06-28 07:59:00,BTC/USD,2520.14,2520.14,2520.14,2520.14,0.00000000,0.0
1498633140,2017-06-28 06:59:00,BTC/USD,2496.77,2503.09,2492.76,2502.68,14.82765079,37108.8650791172
1498629540,2017-06-28 05:59:00,BTC/USD,2492.90,2497.89,2492.90,2492.96,4.12732162,10289.2477057952
1498625940,2017-06-28 04:59:00,BTC/USD,2501.61,2501.61,2501.34,2501.34,1.56499840,3914.593097856
1498622340,2017-06-28 03:59:00,BTC/USD,2532.00,2539.97,2532.00,2533.19,1.08257128,2742.3587407832
1498618740,2017-06-28 02:59:00,BTC/USD,2490.41,2490.41,2490.41,2490.41,0.00000000,0.0
1498615140,2017-06-28 01:59:00,BTC/USD,2484.83,2487.41,2484.83,2487.39,15.19192505,37788.2424501195
1498611540,2017-06-28 00:59:00,BTC/USD,2521.15,2524.19,2518.21,2524.19,23.22391627,58621.577209571304
1498607940,2017-06-27 23:59:00,BTC/USD,2564.00,2565.00,2560.34,2565.00,19.26381893,49411.69555545
1498604340,2017-06-27 22:59:00,BTC/USD,2519.00,2523.54,2518.11,2523.54,12.15045093,30662.1489398922
1498600740,2017-06-27 21:59:00,BTC/USD,2449.98,2450.00,2448.74,2449.96,8.31798979,20378.7422659084
1498597140,2017-06-27 20:59:00,BTC/USD,2472.63,2472.63,2465.00,2465.26,15.69154537,38683.739138846206
1498593540,2017-06-27 19:59:00,BTC/USD,2410.01,2413.75,2410.00,2412.99,26.76487648,64583.3792974752
1498589940,2017-06-27 18:59:00,BTC/USD,2374.99,2374.99,2374.99,2374.99,1.80083722,4276.9703891277995
1498586340,2017-06-27 17:59:00,BTC/USD,2350.00,2350.71,2349.56,2350.71,23.49213190,55223.189378649
1498582740,2017-06-27 16:59:00,BTC/USD,2344.00,2348.14,2339.00,2346.15,10.39049291,24377.654940796503
1498579140,2017-06-27 15:59:00,BTC/USD,2348.62,2354.00,2348.62,2349.42,19.66918135,46211.168047317
1498575540,2017-06-27 14:59:00,BTC/USD,2337.04,2344.43,2335.05,2344.00,12.70662327,29784.324944879998
1498571940,2017-06-27 13:59:00,BTC/USD,2349.57,2358.85,2349.10,2357.57,27.99701072,66004.9125631504
1498568340,2017-06-27 12:59:00,BTC/USD,2402.13,2402.24,2400.86,2402.24,4.09573558,9838.9398396992
1498564740,2017-06-27 11:59:00,BTC/USD,2377.39,2380.00,2377.39,2379.99,1.37296023,3267.6316177976996
1498561140,2017-06-27 10:59:00,BTC/USD,2406.38,2408.13,2406.38,2408.13,0.87974977,2118.5518136301002
